game_id,home_or_away
400578307,home
400578317,away
400578334,home
400578347,home
400578362,home
400578374,away
400578388,home
400578399,home
400578407,away
400578430,home
400578445,home
400578475,home
400578486,away
400578492,away
400578502,away
400578525,home
400578539,home
400578551,away
400578566,home
400578591,away
400578601,away
400578613,away
400578620,away
400578634,away
400578653,home
400578668,home
400578682,away
400578686,away
400578703,away
400578716,away
400578733,home
400578748,home
400578765,home
400578793,home
400578809,home
400578829,home
400578849,home
400578854,away
400578875,home
400578887,away
400578896,away
400578913,home
400578926,away
400578931,home
400578948,home
400578973,away
400578989,away
400579004,away
400579021,away
400579037,home
400579054,home
400579063,away
400579090,away
400579104,home
400579120,away
400579145,home
400579161,home
400579171,home
400579200,away
400579202,away
400579220,home
400579253,away
400579267,home
400579279,home
400579283,away
400579299,away
400579312,away
400579327,away
400579351,away
400579362,home
400579378,away
400579383,away
400579399,home
400579414,home
400579428,home
400579438,away
400755861,home
400579464,away
400579466,home
400579483,away
400579501,home
400579510,away
